16968,-436,-1940
16844,-404,-2116
16744,-352,-2116
16908,-288,-2160
17000,-500,-1964
16836,-424,-2208
16940,-436,-2120
16916,-400,-2224
16888,-372,-2152
16896,-356,-2056
16900,-408,-1956
16940,-444,-2176
16904,-460,-2196
16908,-396,-2092
16852,-416,-2124
16972,-432,-1912
16984,-368,-2124
16860,-320,-2040
16876,-436,-2060
16840,-384,-2156
16976,-340,-2000
16824,-356,-2192
17060,-392,-2132
16816,-348,-2232
16872,-392,-2112
16868,-416,-2100
16880,-324,-1912
16876,-416,-2068
16796,-404,-2188
16892,-344,-2060
16916,-448,-2040
16820,-384,-1940
16884,-332,-2108
17084,-392,-2120
16684,-392,-2160
16972,-392,-2140
17020,-368,-1980
16856,-452,-2184
16892,-408,-2088
16936,-252,-2124
16972,-436,-2016
16872,-356,-1992
16920,-440,-2120
16952,-400,-1984
16752,-360,-2088
16796,-400,-2128
16864,-368,-2148
16876,-404,-2088
16764,-388,-2148
16928,-392,-2188
16932,-296,-2068
16728,-352,-2044
16884,-436,-1988
17060,-328,-2088
16852,-428,-2196
16912,-416,-1980
16816,-296,-2120
16856,-468,-2144
16908,-376,-2108
16912,-352,-2180
16852,-524,-2116
16740,-488,-2040
16952,-440,-2092
16884,-300,-1976
16756,-272,-2156
16888,-340,-2132
16944,-392,-2064
16944,-412,-2060
16892,-452,-2156
16896,-300,-2100
16816,-428,-2096
17000,-416,-2120
16952,-384,-2076
16888,-444,-2132
16900,-360,-2148
16964,-328,-2152
16860,-328,-2088
16872,-412,-2080
16956,-380,-2128
17008,-444,-2144
16860,-320,-2148
16928,-404,-2052
16872,-380,-2040
16832,-420,-2016
16864,-380,-2048
16844,-348,-2000
16848,-424,-2052
16904,-412,-1916
16888,-348,-2112
16904,-360,-2256
17056,-400,-2116
16820,-436,-2100
16976,-488,-2096
16912,-436,-2068
16792,-332,-2056
16912,-444,-2112
16884,-452,-1856
16940,-368,-2056
16860,-344,-2056
16888,-488,-2104
