16788,-100,-2344
16808,-96,-2384
16784,-192,-2304
16924,-292,-2328
17120,-524,-2132
16968,-696,-2236
16960,-752,-1960
17012,-916,-2616
17268,-788,-2164
17144,-692,-2240
16976,-620,-2436
17040,-360,-2188
16736,-208,-2312
16740,-80,-2312
16748,-40,-2112
16704,52,-2244
16904,-32,-2076
16824,-180,-2164
16956,-316,-2348
16892,-412,-2200
16996,-584,-2400
17008,-640,-2416
16912,-504,-2412
16920,-472,-2268
17016,-560,-2148
17052,-544,-2232
16972,-460,-2232
17000,-368,-2096
16900,-360,-2048
16928,-420,-2208
17000,-504,-2464
16972,-692,-2288
16976,-644,-2536
16948,-556,-2180
17020,-616,-2136
17048,-444,-2248
17024,-620,-2228
16868,-420,-2248
16788,-192,-2188
16864,16,-1860
16340,416,-2040
17044,64,-2400
16648,-328,-2608
16524,-412,-2480
17108,-328,-2492
16928,-476,-2480
16756,-848,-2248
17488,-904,-2348
16980,-832,-1980
17036,-812,-1984
17308,-696,-1844
17088,-320,-1816
16988,-196,-1816
16904,-288,-2352
16688,-216,-2380
16584,-184,-2620
16632,-16,-2600
16616,-112,-2384
16872,-176,-2364
16796,-316,-2152
17032,-512,-1996
17164,-612,-2036
17128,-632,-1912
17104,-688,-1736
17244,-676,-2160
16988,-708,-2364
16884,-652,-2376
16732,-360,-2456
16816,-80,-2512
16776,56,-2340
16696,8,-2124
16824,-84,-2064
16840,-160,-2020
16920,-136,-2016
17116,-440,-2056
16952,-724,-2208
17120,-768,-2344
17120,-892,-2372
17068,-864,-2648
16988,-812,-2508
17020,-572,-2224
16920,-532,-2220
16972,-332,-2108
16948,0,-2164
16868,112,-1936
16752,48,-1960
16760,-4,-2124
16780,-268,-2340
16868,-384,-2440
16972,-540,-2520
17048,-748,-2380
17064,-740,-2392
17076,-792,-2160
17236,-824,-1996
17248,-624,-2040
17060,-536,-1808
17104,-532,-2024
16952,-296,-2052
16844,-44,-2180
16712,-44,-2244
16724,-136,-2736
16732,-72,-2468
16704,-224,-2524
16708,-292,-2344
16904,-344,-2192
16984,-400,-2080
17048,-540,-2132
17108,-776,-2036
17244,-724,-2036
17160,-700,-2048
16964,-720,-2184
17020,-576,-2364
16856,-468,-2460
16744,-288,-2548
16756,-288,-2532
16652,-24,-2444
16764,24,-2160
16720,-68,-2084
16876,-228,-2112
17028,-204,-2108
17088,-328,-2036
17092,-596,-2192
17004,-732,-2264
17012,-768,-2352
17000,-800,-2548
17000,-808,-2404
16860,-628,-2460
16996,-356,-2196
16856,-164,-2032
16880,-220,-1872
16840,-60,-2012
16848,-20,-2064
16780,-152,-2220
16744,-292,-2316
16816,-436,-2472
16952,-528,-2444
16900,-684,-2360
16956,-796,-2412
17112,-648,-2412
17044,-776,-2064
17036,-560,-1920
17116,-564,-2012
17000,-340,-1832
17008,-272,-2052
16780,-164,-2208
16732,-80,-2412
16676,-96,-2364
16700,-108,-2516
16736,-224,-2332
16920,-436,-2316
16912,-572,-2404
17024,-524,-2160
17128,-560,-1980
17124,-624,-1908
17248,-752,-2024
17132,-656,-2092
16936,-552,-2180
16924,-476,-2408
16896,-416,-2552
16756,-288,-2472
16644,-288,-2336
16788,-144,-2344
16740,-92,-2104
16888,-156,-2200
16940,-220,-2108
16924,-348,-2016
17088,-400,-2068
17080,-548,-2120
17100,-676,-2168
17004,-748,-2352
16988,-580,-2356
16888,-568,-2208
16940,-412,-2488
16892,-160,-2148
16752,-60,-2180
16812,-80,-2068
16856,8,-2088
16896,-132,-2224
16808,-296,-2248
16768,-436,-2412
16976,-480,-2480
16992,-596,-2336
17008,-620,-2388
17064,-584,-2236
17192,-664,-2348
17036,-612,-2028
17052,-556,-2160
16984,-324,-2072
16872,-224,-2036
16896,-156,-2044
16756,-160,-2280
16748,-184,-2408
16824,-320,-2364
16880,-300,-2404
16892,-360,-2380
16912,-384,-2196
17008,-528,-2176
16952,-536,-2088
17140,-588,-1916
17056,-500,-1924
17056,-524,-1948
16900,-552,-2100
16920,-412,-2428
16796,-336,-2428
16728,-364,-2596
16796,-172,-2428
16816,-120,-2340
16864,-180,-2272
16884,-308,-2236
16896,-348,-2012
17020,-372,-1920
17052,-544,-2040
17020,-580,-2056
16960,-660,-2280
17096,-600,-2252
16900,-744,-2232
16944,-588,-2272
16876,-460,-2396
16756,-424,-2316
16804,-220,-2040
16868,-80,-2228
16884,-100,-2064
16820,-164,-2092
16812,-212,-2108
16824,-240,-2080
17004,-488,-2408
16832,-564,-2460
16972,-596,-2336
17032,-628,-2228
16976,-688,-2288
17032,-720,-2048
16988,-448,-2148
16948,-360,-2160
16876,-340,-2088
16748,-224,-2188
16840,-188,-1964
16732,-92,-2144
16720,-188,-2380
16880,-268,-2364
16788,-384,-2440
16872,-440,-2392
16992,-604,-2288
16976,-560,-2284
16976,-448,-2092
17040,-612,-2012
17056,-500,-2108
17016,-488,-2064
16948,-508,-2152
16916,-416,-2316
16852,-340,-2492
16808,-244,-2524
16764,-252,-2392
16816,-264,-2340
16856,-172,-2448
16888,-352,-2164
16876,-264,-1904
17032,-460,-2052
17028,-456,-2064
