17392,-248,3984
17060,84,3068
17148,124,2120
17264,116,3056
17104,-76,4356
16984,-292,4224
17924,-632,3940
17696,-788,3740
17664,-628,3396
17208,-492,3180
17052,-132,3216
16972,408,3640
16972,456,3640
17348,156,3948
17216,-216,4400
17348,-572,3992
17884,-764,3532
18880,-348,4176
17588,408,4348
16752,880,3780
16096,1380,4728
17892,1356,4956
17256,1840,4812
17408,1928,4088
17628,1524,3440
14708,1324,2140
18060,1144,1376
16468,88,448
20084,-732,-256
15868,-876,1360
16092,-1848,6176
13324,-2304,5064
14624,-404,1736
21200,-2540,4172
19240,-2688,3704
17452,-3436,3496
15052,-3424,552
17496,-3196,1228
16468,-2644,3444
21236,-2900,4932
14824,-1764,5280
18428,-1468,3728
15352,-628,3140
18760,-708,4424
17220,-472,4012
18096,52,1888
17048,440,640
16924,880,1156
17864,1052,1716
16720,1176,364
18428,1144,-1372
16660,1300,-196
18168,1356,1736
16028,1456,-488
17620,1000,-2388
17176,788,-1360
17988,628,1000
17660,368,2388
16988,208,1640
17264,-152,488
17036,-312,1164
17924,-992,2548
17404,-1340,2044
17396,-1704,1716
16828,-1752,2648
17668,-2164,2156
17564,-2192,2308
17384,-2096,2828
16892,-1840,2480
17476,-1716,2232
17020,-1276,1956
17844,-792,3144
15948,264,4048
20380,520,3000
15484,-1052,3760
4756,600,-3984
23168,1308,3136
25464,1956,7816
18984,1116,4712
15048,-84,2432
7424,-544,204
22752,-928,-396
15476,252,5292
26012,-512,4908
10904,128,1864
17756,-140,1856
15288,324,3324
19672,136,2756
18004,-468,296
14312,192,2452
18232,272,3616
16264,224,3608
20228,-168,1880
15496,-48,3208
19168,-440,5024
14872,-124,3976
19028,112,844
16460,324,1612
18076,152,5052
16876,168,5940
18056,40,4184
19308,156,2968
15032,796,3672
18852,116,5044
15140,-100,1388
20264,-544,-708
16508,-216,2040
18176,-136,2984
15436,-72,3028
17660,-232,4380
17892,-288,4692
17568,-28,5020
18656,-92,2996
16180,-240,380
17732,-476,-108
16820,-304,1408
18468,-308,2992
16712,-332,2796
17276,-252,2240
16832,-184,3928
17832,-168,5204
18148,-292,3924
17068,-276,1564
16936,-328,256
17060,-396,1100
17752,-312,1372
17100,-272,1636
17520,-332,3512
16884,-124,4124
17388,-140,3760
17536,-184,2524
17616,-180,2188
17388,-472,1460
17352,-308,1476
17304,-228,592
16560,-124,-72
17568,108,4576
17116,-20,5820
18604,-524,3500
18372,-372,2900
16384,-148,1884
17208,-128,1456
16496,-344,1300
18432,-728,1292
16884,-448,2652
18400,-584,1512
17012,-428,2336
17796,-396,3040
17412,-548,2524
17320,-584,1576
17580,-708,972
16628,-436,888
17756,-532,1212
17080,-460,1440
18080,-488,2720
17188,-416,2876
17340,-284,2860
16628,-220,3268
17904,-400,3236
17684,-368,2852
17664,-532,2648
16520,-308,2284
17016,-412,1556
17540,-424,2064
17764,-348,3096
17972,-576,3160
16720,-188,3300
17568,-264,2640
17464,-432,2268
17352,-676,1096
17888,-612,1296
17372,-436,1888
17160,-468,2524
17160,-504,2844
17424,-476,3388
17764,-560,3312
17168,-452,2924
17436,-600,2380
16816,-556,2376
17732,-588,2500
17544,-496,3200
17488,-600,3332
16984,-528,3328
17296,-608,3580
17400,-556,3308
17636,-684,3172
17444,-676,2780
16956,-636,2592
17520,-672,2884
17172,-612,3100
17632,-612,3288
17252,-628,2968
17488,-528,2912
17184,-592,2600
17420,-620,2636
17316,-704,2684
17448,-552,2352
17360,-652,2112
17232,-636,2088
17372,-676,2244
17332,-604,2740
17552,-572,3124
17328,-616,3176
17420,-440,2732
17232,-596,2568
17360,-652,2448
17328,-612,2256
17340,-592,2092
17368,-600,2424
17272,-468,2648
17324,-600,2944
17312,-404,3116
17364,-608,2916
17476,-548,2652
17340,-452,2340
17260,-524,2448
17360,-408,2272
17384,-420,2088
17300,-440,2596
17472,-480,2888
17444,-380,2748
17356,-332,2796
17248,-408,2520
17260,-468,2168
17500,-448,1732
17296,-420,1704
17376,-524,1976
17348,-340,2316
17360,-344,2756
17308,-312,2864
17364,-260,2924
17368,-224,2700
17332,-276,2196
17388,-336,1744
17272,-280,1872
17568,-352,1512
17356,-276,1788
17460,-188,2244
17372,-260,2512
17404,-236,2500
17304,-152,2448
17464,-240,2236
17400,-212,1852
17356,-216,1704
17408,-260,1868
17264,-252,1960
17388,-260,2396
17368,-160,2480
17496,-220,2832
17240,-156,2492
17380,-196,2048
17236,-188,1496
17432,-228,1260
17292,-184,1504
17504,-148,1912
17540,-136,2188
17404,-208,2512
17312,-184,2864
17196,-216,2520
17276,-268,2148
17404,-244,2184
17348,-360,2072
17340,-316,2224
17332,-320,2544
17348,-184,2912
17316,-276,2876
17392,-312,2944
17308,-224,2924
17344,-264,2472
17332,-264,2272
17332,-332,2164
17380,-300,2240
17420,-344,2744
17392,-248,2892
17308,-248,2952
17400,-164,2840
17348,-228,2432
17404,-272,2444
17384,-232,2584
17260,-304,2680
17436,-276,3024
17336,-280,3320
17388,-284,3344
17268,-200,3080
17352,-204,2756
17236,-204,2780
17360,-240,2704
17352,-384,2940
17432,-348,3048
17348,-312,3076
17344,-284,2868
17452,-340,2824
17564,-256,2808
17464,-204,2804
17520,-284,2680
16500,-352,1336
18572,-336,3280
16600,-192,4252
17556,-364,2504
17148,-296,2464
18000,-264,3216
17164,-252,3384
17188,-160,2844
17432,-332,2136
17440,-324,1992
17440,-464,2804
17408,-256,3292
17280,-404,2420
17188,-356,2424
17352,-268,2852
17292,-268,2780
17504,-344,1840
17080,-340,1596
17392,-456,2180
17332,-312,2696
17360,-408,2028
17340,-352,2228
17380,-268,3184
17464,-340,2936
17388,-316,2252
17428,-384,2148
17340,-372,2404
17480,-420,2100
17396,-372,1892
17248,-324,2372
17276,-200,2816
17272,-252,2972
17396,-228,2844
17336,-340,2216
17240,-432,1852
17380,-300,2196
17348,-300,2100
17520,-308,2112
17380,-380,2084
17636,-256,3120
16976,-204,1928
16756,-200,2492
17852,-300,2964
17444,-336,2992
17240,-272,2272
17240,-320,1792
17412,-368,2080
17716,-272,2420
17400,-172,2624
17424,-192,2636
17300,-240,2580
17416,-276,2624
17348,-336,2620
17268,-452,2276
17160,-344,2068
17372,-356,2324
17376,-300,2156
17412,-368,2248
17288,-340,2056
17240,-284,1888
17460,-408,2144
17228,-396,2752
17676,-392,2520
17140,-328,2348
17416,-444,2372
17252,-384,2740
17596,-436,2692
17412,-404,2172
17364,-396,2460
17480,-412,2744
17268,-316,2568
17344,-336,2348
17728,-412,2440
17408,-400,2468
17476,-476,2540
17352,-392,2500
17264,-468,2516
17260,-424,2252
17224,-396,2776
17336,-356,2656
17076,-336,2648
17312,-256,2144
17292,-416,2528
17648,-408,2648
17704,-276,2544
